# point number in a profile
187
#r  U_mean  k  eps
1.1769294823143561E-01 1.0520254257126280E+00 1.2861219534550057E-02 6.5005766944022502E-03
1.2028187884647012E-01 1.0561881947607983E+00 1.2688230573748795E-02 6.3315419623061206E-03
1.2292643971452522E-01 1.0603135929416438E+00 1.2517246545853164E-02 6.1636712122574494E-03
1.2562785394245313E-01 1.0644052898326481E+00 1.2348157011910953E-02 5.9989126554012197E-03
1.2838737093173014E-01 1.0684669034804231E+00 1.2180861041904190E-02 5.8364201256373783E-03
1.3120626695630389E-01 1.0725020352428194E+00 1.2015190098033889E-02 5.6783143529910360E-03
1.3408584575286842E-01 1.0765142523573918E+00 1.1851020929519732E-02 5.5265674475480763E-03
1.3702743912384130E-01 1.0805070106289094E+00 1.1688316912831061E-02 5.3786078587878790E-03
1.4003240755332114E-01 1.0844836739371437E+00 1.1527111835548602E-02 5.2352292765829814E-03
1.4310214083631001E-01 1.0884474744502044E+00 1.1367515595730269E-02 5.0930157010504150E-03
1.4623805872149198E-01 1.0924014913460969E+00 1.1209617904252933E-02 4.9493773454290790E-03
1.4944161156786617E-01 1.0963491260894971E+00 1.1053339801185915E-02 4.8157359777613396E-03
1.5271428101553602E-01 1.1002940222354023E+00 1.0898645216193756E-02 4.6752654169577397E-03
1.5605758067096631E-01 1.1042391696608305E+00 1.0745254163426730E-02 4.5353044654656656E-03
1.5947305680702495E-01 1.1081877398773872E+00 1.0592841724316088E-02 4.4003206628663400E-03
1.6296228907813248E-01 1.1121428038249115E+00 1.0441354624404377E-02 4.2723494376807848E-03
1.6652689125085091E-01 1.1161072919182189E+00 1.0290872539862753E-02 4.1501632233899959E-03
1.7016851195024885E-01 1.1200839210806255E+00 1.0141463875368824E-02 4.0329502735235575E-03
1.7388883542238959E-01 1.1240751508746005E+00 9.9931400375926696E-03 3.9189649076140426E-03
1.7768958231329268E-01 1.1280831946337797E+00 9.8457928878681357E-03 3.8075803346346504E-03
1.8157251046473155E-01 1.1321100047193331E+00 9.6992160198617113E-03 3.6984422932618511E-03
1.8553941572723309E-01 1.1361572852167032E+00 9.5531199241030776E-03 3.5922955159616264E-03
1.8959213279065751E-01 1.1402265357408097E+00 9.4071900712592235E-03 3.4907534554354095E-03
1.9373253603273988E-01 1.1443190868774400E+00 9.2611848590942319E-03 3.3939716345451698E-03
1.9796254038598848E-01 1.1484360020730877E+00 9.1150051771805955E-03 3.3007801614670465E-03
2.0228410222333937E-01 1.1525779709463928E+00 8.9687295345637769E-03 3.2091275931604908E-03
2.0669922026297638E-01 1.1567454000333444E+00 8.8225142741314710E-03 3.1143943527441975E-03
2.1120993649273689E-01 1.1609387685557904E+00 8.6763136143709826E-03 3.0206671980599858E-03
2.1581833711452914E-01 1.1651584401157795E+00 8.5299641554168228E-03 2.9300411668494357E-03
2.2052655350919836E-01 1.1694042127074269E+00 8.3830834712894826E-03 2.8397921209983826E-03
2.2533676322228852E-01 1.1736759923517199E+00 8.2355123265425018E-03 2.7539529821072866E-03
2.3025119097115526E-01 1.1779737988882177E+00 8.0873685110968742E-03 2.6718824332665429E-03
2.3527210967389511E-01 1.1822977496453126E+00 7.9387974683604035E-03 2.5919233760269018E-03
2.4040184150056815E-01 1.1866478194480223E+00 7.7898589697496974E-03 2.5134670203146602E-03
2.4564275894719934E-01 1.1910234918163738E+00 7.6405162505897451E-03 2.4370052438933464E-03
2.5099728593305592E-01 1.1954236204705448E+00 7.4906955782824839E-03 2.3634756497024449E-03
2.5646789892170718E-01 1.1998463781431965E+00 7.3404101051426241E-03 2.2923660907609475E-03
2.6205712806638704E-01 1.2042890919928455E+00 7.1898372391799859E-03 2.2212018783649601E-03
2.6776755838018729E-01 1.2087483530379288E+00 7.0391683143731024E-03 2.1502326637044835E-03
2.7360183093162316E-01 1.2132207118858518E+00 6.8886861476263814E-03 2.0811139925469603E-03
2.7956264406612596E-01 1.2177018117395497E+00 6.7384958554808517E-03 2.0124984363493622E-03
2.8565275465402440E-01 1.2221868251075823E+00 6.5889251551592603E-03 1.9469394698539233E-03
